Candidate,Votes,County,race
HANK BOHNHOFF,2611,Rio Arriba,Judge of the Court of Appeals Position 2
Total Votes,12249,Rio Arriba,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1419,Roosevelt,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,3125,Roosevelt,Judge of the Court of Appeals Position 2
Total Votes,4544,Roosevelt,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,13488,San Juan,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,22866,San Juan,Judge of the Court of Appeals Position 2
Total Votes,36354,San Juan,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,7198,San Miguel,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,1836,San Miguel,Judge of the Court of Appeals Position 2
Total Votes,9034,San Miguel,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,29383,Sandoval,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,24243,Sandoval,Judge of the Court of Appeals Position 2
Total Votes,53626,Sandoval,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,51078,Santa Fe,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,13966,Santa Fe,Judge of the Court of Appeals Position 2
Total Votes,65044,Santa Fe,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1912,Sierra,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2661,Sierra,Judge of the Court of Appeals Position 2
Total Votes,4573,Sierra,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,3586,Socorro,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2399,Socorro,Judge of the Court of Appeals Position 2
Total Votes,5985,Socorro,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,12097,Taos,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2119,Taos,Judge of the Court of Appeals Position 2
Total Votes,14216,Taos,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,2025,Torrance,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,3200,Torrance,Judge of the Court of Appeals Position 2
Total Votes,5225,Torrance,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,410,Union,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,992,Union,Judge of the Court of Appeals Position 2
Total Votes,1402,Union,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,11018,Valencia,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,10991,Valencia,Judge of the Court of Appeals Position 2
Total Votes,22009,Valencia,Judge of the Court of Appeals Position 2
BRIANA H ZAMORA,141580,Bernalillo,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,87988,Bernalillo,Judge of the Court of Appeals Position 3
Total Votes,229568,Bernalillo,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,495,Catron,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1303,Catron,Judge of the Court of Appeals Position 3
Total Votes,1798,Catron,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,5518,Chaves,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,10850,Chaves,Judge of the Court of Appeals Position 3
Total Votes,16368,Chaves,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,4263,Cibola,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2581,Cibola,Judge of the Court of Appeals Position 3
Total Votes,6844,Cibola,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2293,Colfax,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2253,Colfax,Judge of the Court of Appeals Position 3
Total Votes,4546,Colfax,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,3177,Curry,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,6824,Curry,Judge of the Court of Appeals Position 3
Total Votes,10001,Curry,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,258,De Baca,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,499,De Baca,Judge of the Court of Appeals Position 3
Total Votes,757,De Baca,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,35798,Dona Ana,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,22885,Dona Ana,Judge of the Court of Appeals Position 3
Total Votes,58683,Dona Ana,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,4909,Eddy,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,10504,Eddy,Judge of the Court of Appeals Position 3
Total Votes,15413,Eddy,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,6827,Grant,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,4664,Grant,Judge of the Court of Appeals Position 3
Total Votes,11491,Grant,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1165,Guadalupe,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,433,Guadalupe,Judge of the Court of Appeals Position 3
Total Votes,1598,Guadalupe,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,176,Harding,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,267,Harding,Judge of the Court of Appeals Position 3
Total Votes,443,Harding,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,792,Hidalgo,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,731,Hidalgo,Judge of the Court of Appeals Position 3
Total Votes,1523,Hidalgo,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,3682,Lea,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,9903,Lea,Judge of the Court of Appeals Position 3
Total Votes,13585,Lea,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2561,Lincoln,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,5126,Lincoln,Judge of the Court of Appeals Position 3
Total Votes,7687,Lincoln,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,5508,Los Alamos,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,4112,Los Alamos,Judge of the Court of Appeals Position 3
Total Votes,9620,Los Alamos,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2988,Luna,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2990,Luna,Judge of the Court of Appeals Position 3
Total Votes,5978,Luna,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,12402,McKinley,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,4608,McKinley,Judge of the Court of Appeals Position 3
Total Votes,17010,McKinley,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1683,Mora,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,543,Mora,Judge of the Court of Appeals Position 3
Total Votes,2226,Mora,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,6407,Otero,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,10335,Otero,Judge of the Court of Appeals Position 3
Total Votes,16742,Otero,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1169,Quay,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1817,Quay,Judge of the Court of Appeals Position 3
Total Votes,2986,Quay,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,9446,Rio Arriba,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2777,Rio Arriba,Judge of the Court of Appeals Position 3
Total Votes,12223,Rio Arriba,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1439,Roosevelt,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,3113,Roosevelt,Judge of the Court of Appeals Position 3
Total Votes,4552,Roosevelt,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,13523,San Juan,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,22780,San Juan,Judge of the Court of Appeals Position 3
Total Votes,36303,San Juan,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,7047,San Miguel,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1972,San Miguel,Judge of the Court of Appeals Position 3
Total Votes,9019,San Miguel,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,29440,Sandoval,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,24143,Sandoval,Judge of the Court of Appeals Position 3
Total Votes,53583,Sandoval,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,51318,Santa Fe,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,13693,Santa Fe,Judge of the Court of Appeals Position 3
Total Votes,65011,Santa Fe,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1887,Sierra,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2702,Sierra,Judge of the Court of Appeals Position 3
Total Votes,4589,Sierra,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,3533,Socorro,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2471,Socorro,Judge of the Court of Appeals Position 3
Total Votes,6004,Socorro,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,11661,Taos,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2431,Taos,Judge of the Court of Appeals Position 3
Total Votes,14092,Taos,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2088,Torrance,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,3142,Torrance,Judge of the Court of Appeals Position 3
Total Votes,5230,Torrance,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,407,Union,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1003,Union,Judge of the Court of Appeals Position 3
Total Votes,1410,Union,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,10612,Valencia,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,11467,Valencia,Judge of the Court of Appeals Position 3
Total Votes,22079,Valencia,Judge of the Court of Appeals Position 3
MEGAN P DUFFY,134249,Bernalillo,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,94057,Bernalillo,Judge of the Court of Appeals Position 4
Total Votes,228306,Bernalillo,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,516,Catron,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,1264,Catron,Judge of the Court of Appeals Position 4
Total Votes,1780,Catron,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,5277,Chaves,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,11081,Chaves,Judge of the Court of Appeals Position 4
Total Votes,16358,Chaves,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,3823,Cibola,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,3016,Cibola,Judge of the Court of Appeals Position 4
Total Votes,6839,Cibola,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,2077,Colfax,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,2463,Colfax,Judge of the Court of Appeals Position 4
Total Votes,4540,Colfax,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,3133,Curry,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,6827,Curry,Judge of the Court of Appeals Position 4
Total Votes,9960,Curry,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,251,De Baca,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,507,De Baca,Judge of the Court of Appeals Position 4
Total Votes,758,De Baca,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,34059,Dona Ana,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,24547,Dona Ana,Judge of the Court of Appeals Position 4
Total Votes,58606,Dona Ana,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,4657,Eddy,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,10757,Eddy,Judge of the Court of Appeals Position 4
Total Votes,15414,Eddy,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,6580,Grant,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,4859,Grant,Judge of the Court of Appeals Position 4
Total Votes,11439,Grant,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,814,Guadalupe,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,777,Guadalupe,Judge of the Court of Appeals Position 4
Total Votes,1591,Guadalupe,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,154,Harding,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,284,Harding,Judge of the Court of Appeals Position 4
Total Votes,438,Harding,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,756,Hidalgo,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,763,Hidalgo,Judge of the Court of Appeals Position 4
Total Votes,1519,Hidalgo,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,3336,Lea,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,10239,Lea,Judge of the Court of Appeals Position 4
Total Votes,13575,Lea,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,2506,Lincoln,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,5168,Lincoln,Judge of the Court of Appeals Position 4
Total Votes,7674,Lincoln,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,5420,Los Alamos,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,4181,Los Alamos,Judge of the Court of Appeals Position 4
Total Votes,9601,Los Alamos,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,2849,Luna,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,3110,Luna,Judge of the Court of Appeals Position 4
Total Votes,5959,Luna,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,11724,McKinley,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,5279,McKinley,Judge of the Court of Appeals Position 4
Total Votes,17003,McKinley,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,1356,Mora,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,857,Mora,Judge of the Court of Appeals Position 4
Total Votes,2213,Mora,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,6093,Otero,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,10634,Otero,Judge of the Court of Appeals Position 4
Total Votes,16727,Otero,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,1041,Quay,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,1930,Quay,Judge of the Court of Appeals Position 4
Total Votes,2971,Quay,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,8055,Rio Arriba,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,4139,Rio Arriba,Judge of the Court of Appeals Position 4
Total Votes,12194,Rio Arriba,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,1440,Roosevelt,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,3089,Roosevelt,Judge of the Court of Appeals Position 4
Total Votes,4529,Roosevelt,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,12981,San Juan,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,23294,San Juan,Judge of the Court of Appeals Position 4
Total Votes,36275,San Juan,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,6136,San Miguel,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,2862,San Miguel,Judge of the Court of Appeals Position 4
Total Votes,8998,San Miguel,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,27942,Sandoval,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,25541,Sandoval,Judge of the Court of Appeals Position 4
Total Votes,53483,Sandoval,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,48053,Santa Fe,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,16792,Santa Fe,Judge of the Court of Appeals Position 4
Total Votes,64845,Santa Fe,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,1876,Sierra,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,2700,Sierra,Judge of the Court of Appeals Position 4
Total Votes,4576,Sierra,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,3191,Socorro,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,2792,Socorro,Judge of the Court of Appeals Position 4
Total Votes,5983,Socorro,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,10193,Taos,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,3901,Taos,Judge of the Court of Appeals Position 4
Total Votes,14094,Taos,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,1915,Torrance,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,3294,Torrance,Judge of the Court of Appeals Position 4
Total Votes,5209,Torrance,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,369,Union,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,1032,Union,Judge of the Court of Appeals Position 4
Total Votes,1401,Union,Judge of the Court of Appeals Position 4
MEGAN P DUFFY,10065,Valencia,Judge of the Court of Appeals Position 4
DANIEL JOSE GALLEGOS,11897,Valencia,Judge of the Court of Appeals Position 4
Total Votes,21962,Valencia,Judge of the Court of Appeals Position 4
JENNIFER L ATTREP,162917,Bernalillo,Judge of the Court of Appeals Position 5
Total Votes,162917,Bernalillo,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,888,Catron,Judge of the Court of Appeals Position 5
Total Votes,888,Catron,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,9395,Chaves,Judge of the Court of Appeals Position 5
Total Votes,9395,Chaves,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,4895,Cibola,Judge of the Court of Appeals Position 5
Total Votes,4895,Cibola,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,3018,Colfax,Judge of the Court of Appeals Position 5
Total Votes,3018,Colfax,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,5195,Curry,Judge of the Court of Appeals Position 5
Total Votes,5195,Curry,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,425,De Baca,Judge of the Court of Appeals Position 5
Total Votes,425,De Baca,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,42352,Dona Ana,Judge of the Court of Appeals Position 5
Total Votes,42352,Dona Ana,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,8528,Eddy,Judge of the Court of Appeals Position 5
Total Votes,8528,Eddy,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,8139,Grant,Judge of the Court of Appeals Position 5
Total Votes,8139,Grant,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,1169,Guadalupe,Judge of the Court of Appeals Position 5
Total Votes,1169,Guadalupe,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,276,Harding,Judge of the Court of Appeals Position 5
Total Votes,276,Harding,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,1025,Hidalgo,Judge of the Court of Appeals Position 5
Total Votes,1025,Hidalgo,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,7081,Lea,Judge of the Court of Appeals Position 5
Total Votes,7081,Lea,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,4146,Lincoln,Judge of the Court of Appeals Position 5
Total Votes,4146,Lincoln,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,6911,Los Alamos,Judge of the Court of Appeals Position 5
Total Votes,6911,Los Alamos,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,4184,Luna,Judge of the Court of Appeals Position 5
Total Votes,4184,Luna,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,13038,McKinley,Judge of the Court of Appeals Position 5
Total Votes,13038,McKinley,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,1623,Mora,Judge of the Court of Appeals Position 5
Total Votes,1623,Mora,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,9655,Otero,Judge of the Court of Appeals Position 5
Total Votes,9655,Otero,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,1675,Quay,Judge of the Court of Appeals Position 5
Total Votes,1675,Quay,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,9380,Rio Arriba,Judge of the Court of Appeals Position 5
Total Votes,9380,Rio Arriba,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,2463,Roosevelt,Judge of the Court of Appeals Position 5
Total Votes,2463,Roosevelt,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,19715,San Juan,Judge of the Court of Appeals Position 5
Total Votes,19715,San Juan,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,7280,San Miguel,Judge of the Court of Appeals Position 5
Total Votes,7280,San Miguel,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,36284,Sandoval,Judge of the Court of Appeals Position 5
Total Votes,36284,Sandoval,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,52058,Santa Fe,Judge of the Court of Appeals Position 5
Total Votes,52058,Santa Fe,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,2807,Sierra,Judge of the Court of Appeals Position 5
Total Votes,2807,Sierra,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,4291,Socorro,Judge of the Court of Appeals Position 5
Total Votes,4291,Socorro,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,11629,Taos,Judge of the Court of Appeals Position 5
Total Votes,11629,Taos,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,3033,Torrance,Judge of the Court of Appeals Position 5
Total Votes,3033,Torrance,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,786,Union,Judge of the Court of Appeals Position 5
Total Votes,786,Union,Judge of the Court of Appeals Position 5
JENNIFER L ATTREP,14690,Valencia,Judge of the Court of Appeals Position 5
Total Votes,14690,Valencia,Judge of the Court of Appeals Position 5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
