elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county
11/6/2018,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",1951,1951,1,"CHRIS POWELL",LIB,1721,2432,36615,40768,
11/6/2018,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",1951,1951,2,"KEVIN STITT",REP,32208,55349,556430,643987,
11/6/2018,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",1951,1951,3,"DREW EDMONDSON",DEM,34037,49172,417221,500430,
11/6/2018,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",1951,1951,1,"MATT PINNELL",REP,36773,62475,629299,728547,
11/6/2018,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",1951,1951,2,"ANASTASIA A. PITTMAN",DEM,28600,41179,336561,406340,
11/6/2018,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",1951,1951,3,"IVAN HOLMES",IND,2087,2773,37260,42120,
11/6/2018,"FEDERAL, STATE AND COUNTY",10003,"FOR STATE AUDITOR AND INSPECTOR",1951,1951,1,"JOHN YEUTTER",LIB,15543,24356,230117,270016,
11/6/2018,"FEDERAL, STATE AND COUNTY",10003,"FOR STATE AUDITOR AND INSPECTOR",1951,1951,2,"CINDY BYRD",REP,44206,72053,701818,818077,
11/6/2018,"FEDERAL, STATE AND COUNTY",10004,"FOR ATTORNEY GENERAL",1951,1951,1,"MIKE HUNTER",REP,37881,64055,648146,750082,
11/6/2018,"FEDERAL, STATE AND COUNTY",10004,"FOR ATTORNEY GENERAL",1951,1951,2,"MARK MYLES",DEM,29293,42025,349894,421212,
11/6/2018,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",1951,1951,1,"RANDY McDANIEL",REP,40230,67514,671186,778930,
11/6/2018,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",1951,1951,2,"CHARLES de COUNE",IND,19794,29351,260030,309175,
11/6/2018,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",1951,1951,1,"JOY HOFMEISTER",REP,37106,60841,588892,686839,
11/6/2018,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",1951,1951,2,"JOHN COX",DEM,26225,39152,331080,396457,
11/6/2018,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",1951,1951,3,"LARRY HUFF",IND,3938,6228,80241,90407,
11/6/2018,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",1951,1951,1,"LESLIE OSBORN",REP,38128,62233,616748,717109,
11/6/2018,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",1951,1951,2,"FRED DORRELL",DEM,26181,39511,323133,388825,
11/6/2018,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",1951,1951,3,"BRANDT DISMUKES",IND,2415,3630,49701,55746,
11/6/2018,"FEDERAL, STATE AND COUNTY",10008,"FOR INSURANCE COMMISSIONER",1951,1951,1,"GLEN MULREADY",REP,36479,61616,621328,719423,
11/6/2018,"FEDERAL, STATE AND COUNTY",10008,"FOR INSURANCE COMMISSIONER",1951,1951,2,"KIMBERLY FOBBS",DEM,29962,43708,367752,441422,
11/6/2018,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",1951,1951,1,"BOB ANTHONY",REP,36769,61143,602731,700643,
11/6/2018,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",1951,1951,2,"ASHLEY NICOLE McCRAY",DEM,27045,40339,332801,400185,
11/6/2018,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",1951,1951,3,"JACKIE SHORT",IND,3224,4343,58637,66204,
11/6/2018,"FEDERAL, STATE AND COUNTY",10010,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",326,326,1,"KEVIN HERN",REP,6313,10351,133274,149938,
11/6/2018,"FEDERAL, STATE AND COUNTY",10010,"FOR UNITED STATES REPRESENTATIVE DISTRICT 01",326,326,2,"TIM GILPIN",DEM,5683,9071,88124,102878,
11/6/2018,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",522,522,1,"RICHARD CASTALDO",LIB,146,355,3635,4136,
11/6/2018,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",522,522,2,"MARKWAYNE MULLIN",REP,4255,14471,121579,140305,
11/6/2018,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",522,522,3,"JASON NICHOLS",DEM,2635,8196,54127,64958,
11/6/2018,"FEDERAL, STATE AND COUNTY",10011,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",522,522,4,"JOHN FOREMAN",IND,180,515,5688,6383,
11/6/2018,"FEDERAL, STATE AND COUNTY",10012,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",480,480,1,"FRANK D. LUCAS",REP,7604,15814,149339,172757,
11/6/2018,"FEDERAL, STATE AND COUNTY",10012,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",480,480,2,"FRANKIE ROBBINS",DEM,3548,6171,51376,61095,
11/6/2018,"FEDERAL, STATE AND COUNTY",10013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",350,350,1,"TOM COLE",REP,8283,14046,126798,149127,
11/6/2018,"FEDERAL, STATE AND COUNTY",10013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",350,350,2,"MARY BRANNON",DEM,5777,9213,63032,78022,
11/6/2018,"FEDERAL, STATE AND COUNTY",10013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",350,350,3,"RUBY PETERS",IND,434,654,8222,9310,
11/6/2018,"FEDERAL, STATE AND COUNTY",10014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",273,273,1,"STEVE RUSSELL",REP,10671,7663,99391,117725,
11/6/2018,"FEDERAL, STATE AND COUNTY",10014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 05",273,273,2,"KENDRA HORN",DEM,12081,10094,98838,121013,
11/6/2018,"FEDERAL, STATE AND COUNTY",10015,"FOR STATE SENATOR DISTRICT 2",33,33,1,"MARTY QUINN",REP,761,2847,14643,18251,
11/6/2018,"FEDERAL, STATE AND COUNTY",10015,"FOR STATE SENATOR DISTRICT 2",33,33,2,"JENNIFER ESAU",DEM,582,1779,8355,10716,
11/6/2018,"FEDERAL, STATE AND COUNTY",10016,"FOR STATE SENATOR DISTRICT 4",48,48,1,"MARK DEAN ALLEN",REP,306,1283,11587,13176,
11/6/2018,"FEDERAL, STATE AND COUNTY",10016,"FOR STATE SENATOR DISTRICT 4",48,48,2,"EDDIE MARTIN",DEM,235,890,6574,7699,
11/6/2018,"FEDERAL, STATE AND COUNTY",10017,"FOR STATE SENATOR DISTRICT 6",58,58,1,"DAVID BULLARD",REP,388,1870,12102,14360,
11/6/2018,"FEDERAL, STATE AND COUNTY",10017,"FOR STATE SENATOR DISTRICT 6",58,58,2,"ARNOLD BOURNE",DEM,257,813,6361,7431,
11/6/2018,"FEDERAL, STATE AND COUNTY",10018,"FOR STATE SENATOR DISTRICT 8",53,53,1,"ROGER THOMPSON",REP,419,1137,11247,12803,
11/6/2018,"FEDERAL, STATE AND COUNTY",10018,"FOR STATE SENATOR DISTRICT 8",53,53,2,"SHANNAN TUCKER",DEM,268,810,7181,8259,
11/6/2018,"FEDERAL, STATE AND COUNTY",10018,"FOR STATE SENATOR DISTRICT 8",53,53,3,"MARLENA NOBLES",IND,30,45,689,764,
11/6/2018,"FEDERAL, STATE AND COUNTY",10020,"FOR STATE SENATOR DISTRICT 12",38,38,1,"JAMES LEEWRIGHT",REP,615,1790,16164,18569,
11/6/2018,"FEDERAL, STATE AND COUNTY",10020,"FOR STATE SENATOR DISTRICT 12",38,38,2,"RICK PARRIS",DEM,282,691,5449,6422,
11/6/2018,"FEDERAL, STATE AND COUNTY",10021,"FOR STATE SENATOR DISTRICT 14",56,56,1,"FRANK SIMPSON",REP,406,1909,13770,16085,
11/6/2018,"FEDERAL, STATE AND COUNTY",10021,"FOR STATE SENATOR DISTRICT 14",56,56,2,"JUSTIN ARLEDGE",DEM,252,871,5682,6805,
11/6/2018,"FEDERAL, STATE AND COUNTY",10022,"FOR STATE SENATOR DISTRICT 16",25,25,1,"BECKI MALDONADO",REP,547,763,7833,9143,
11/6/2018,"FEDERAL, STATE AND COUNTY",10022,"FOR STATE SENATOR DISTRICT 16",25,25,2,"MARY B. BOREN",DEM,1117,1821,12571,15509,
11/6/2018,"FEDERAL, STATE AND COUNTY",10023,"FOR STATE SENATOR DISTRICT 18",41,41,1,"KIM DAVID",REP,552,1564,14909,17025,
11/6/2018,"FEDERAL, STATE AND COUNTY",10023,"FOR STATE SENATOR DISTRICT 18",41,41,2,"CHARLES ARNALL",DEM,304,900,7498,8702,
11/6/2018,"FEDERAL, STATE AND COUNTY",10024,"FOR STATE SENATOR DISTRICT 20",54,54,1,"CHUCK HALL",REP,942,1999,16052,18993,
11/6/2018,"FEDERAL, STATE AND COUNTY",10024,"FOR STATE SENATOR DISTRICT 20",54,54,2,"HEADY COLEMAN",DEM,528,964,6619,8111,
11/6/2018,"FEDERAL, STATE AND COUNTY",10025,"FOR STATE SENATOR DISTRICT 22",27,27,1,"STEPHANIE BICE",REP,2138,1345,20965,24448,
11/6/2018,"FEDERAL, STATE AND COUNTY",10025,"FOR STATE SENATOR DISTRICT 22",27,27,2,"WILLIAM ANDREWS",DEM,1204,927,9234,11365,
11/6/2018,"FEDERAL, STATE AND COUNTY",10026,"FOR STATE SENATOR DISTRICT 24",20,20,1,"DARRELL WEAVER",REP,1433,2246,13884,17563,
11/6/2018,"FEDERAL, STATE AND COUNTY",10026,"FOR STATE SENATOR DISTRICT 24",20,20,2,"RENÃ‰E JERDEN",DEM,1031,1330,7730,10091,
11/6/2018,"FEDERAL, STATE AND COUNTY",10028,"FOR STATE SENATOR DISTRICT 28",40,40,1,"JASON N. SMALLEY",REP,679,1415,15099,17193,
11/6/2018,"FEDERAL, STATE AND COUNTY",10028,"FOR STATE SENATOR DISTRICT 28",40,40,2,"STEPHANIE R. SANDERS",IND,350,488,5409,6247,
11/6/2018,"FEDERAL, STATE AND COUNTY",10029,"FOR STATE SENATOR DISTRICT 30",30,30,1,"JOHN SYMCOX",REP,831,319,9102,10252,
11/6/2018,"FEDERAL, STATE AND COUNTY",10029,"FOR STATE SENATOR DISTRICT 30",30,30,2,"JULIA KIRT",DEM,1222,648,10364,12234,
11/6/2018,"FEDERAL, STATE AND COUNTY",10030,"FOR STATE SENATOR DISTRICT 32",21,21,1,"JOHN MICHAEL MONTGOMERY",REP,497,825,7103,8425,
11/6/2018,"FEDERAL, STATE AND COUNTY",10030,"FOR STATE SENATOR DISTRICT 32",21,21,2,"JACOBI CROWLEY",DEM,413,844,5604,6861,
11/6/2018,"FEDERAL, STATE AND COUNTY",10032,"FOR STATE SENATOR DISTRICT 36",28,28,1,"JOHN HASTE",REP,637,1521,12127,14285,
11/6/2018,"FEDERAL, STATE AND COUNTY",10032,"FOR STATE SENATOR DISTRICT 36",28,28,2,"BRYAN O'BRIEN",DEM,422,875,7389,8686,
11/6/2018,"FEDERAL, STATE AND COUNTY",10033,"FOR STATE SENATOR DISTRICT 38",64,64,1,"BRENT HOWARD",REP,506,1537,11830,13873,
11/6/2018,"FEDERAL, STATE AND COUNTY",10033,"FOR STATE SENATOR DISTRICT 38",64,64,2,"JEFF BERRONG",DEM,322,822,6277,7421,
11/6/2018,"FEDERAL, STATE AND COUNTY",10034,"FOR STATE SENATOR DISTRICT 40",31,31,1,"JOE HOWELL",REP,944,489,8979,10412,
11/6/2018,"FEDERAL, STATE AND COUNTY",10034,"FOR STATE SENATOR DISTRICT 40",31,31,2,"CARRI HICKS",DEM,1680,1062,12813,15555,
11/6/2018,"FEDERAL, STATE AND COUNTY",10034,"FOR STATE SENATOR DISTRICT 40",31,31,3,"CHRISTOPHER HENSLEY",IND,58,30,856,944,
11/6/2018,"FEDERAL, STATE AND COUNTY",10035,"FOR STATE SENATOR DISTRICT 42",26,26,1,"BRENDA STANLEY",REP,863,305,10852,12020,
11/6/2018,"FEDERAL, STATE AND COUNTY",10035,"FOR STATE SENATOR DISTRICT 42",26,26,2,"LINDA WADE",DEM,759,583,8877,10219,
11/6/2018,"FEDERAL, STATE AND COUNTY",10035,"FOR STATE SENATOR DISTRICT 42",26,26,3,"MATT CAMPBELL",IND,89,29,1408,1526,
11/6/2018,"FEDERAL, STATE AND COUNTY",10038,"FOR STATE SENATOR DISTRICT 48",34,34,1,"WILLARD LINZY",REP,355,245,3680,4280,
11/6/2018,"FEDERAL, STATE AND COUNTY",10038,"FOR STATE SENATOR DISTRICT 48",34,34,2,"GEORGE E. YOUNG",DEM,1356,2293,15719,19368,
11/6/2018,"FEDERAL, STATE AND COUNTY",10040,"FOR STATE REPRESENTATIVE DISTRICT 2",21,21,1,"JIM OLSEN",REP,133,485,4559,5177,
11/6/2018,"FEDERAL, STATE AND COUNTY",10040,"FOR STATE REPRESENTATIVE DISTRICT 2",21,21,2,"TOM STITES",DEM,155,522,3942,4619,
11/6/2018,"FEDERAL, STATE AND COUNTY",10041,"FOR STATE REPRESENTATIVE DISTRICT 3",21,21,1,"LUNDY KIGER",REP,116,583,4447,5146,
11/6/2018,"FEDERAL, STATE AND COUNTY",10041,"FOR STATE REPRESENTATIVE DISTRICT 3",21,21,2,"TROY DYER",DEM,125,506,3650,4281,
11/6/2018,"FEDERAL, STATE AND COUNTY",10043,"FOR STATE REPRESENTATIVE DISTRICT 5",21,21,1,"JOSH WEST",REP,428,685,7117,8230,
11/6/2018,"FEDERAL, STATE AND COUNTY",10043,"FOR STATE REPRESENTATIVE DISTRICT 5",21,21,2,"ED TRUMBULL",DEM,205,400,3224,3829,
11/6/2018,"FEDERAL, STATE AND COUNTY",10044,"FOR STATE REPRESENTATIVE DISTRICT 6",22,22,1,"RUSTY CORNWELL",REP,232,634,7364,8230,
11/6/2018,"FEDERAL, STATE AND COUNTY",10044,"FOR STATE REPRESENTATIVE DISTRICT 6",22,22,2,"JOHN L. MYERS",DEM,165,376,3704,4245,
11/6/2018,"FEDERAL, STATE AND COUNTY",10045,"FOR STATE REPRESENTATIVE DISTRICT 7",19,19,1,"WILLIAM LEONARD",REP,166,358,4462,4986,
11/6/2018,"FEDERAL, STATE AND COUNTY",10045,"FOR STATE REPRESENTATIVE DISTRICT 7",19,19,2,"BEN LORING",DEM,176,462,4661,5299,
11/6/2018,"FEDERAL, STATE AND COUNTY",10046,"FOR STATE REPRESENTATIVE DISTRICT 8",24,24,1,"TOM GANN",REP,170,545,6144,6859,
11/6/2018,"FEDERAL, STATE AND COUNTY",10046,"FOR STATE REPRESENTATIVE DISTRICT 8",24,24,2,"DARRELL MOORE",DEM,182,483,4471,5136,
11/6/2018,"FEDERAL, STATE AND COUNTY",10047,"FOR STATE REPRESENTATIVE DISTRICT 9",16,16,1,"MARK LEPAK",REP,409,1617,7516,9542,
11/6/2018,"FEDERAL, STATE AND COUNTY",10047,"FOR STATE REPRESENTATIVE DISTRICT 9",16,16,2,"CLAY LAYTON",DEM,240,781,3319,4340,
11/6/2018,"FEDERAL, STATE AND COUNTY",10048,"FOR STATE REPRESENTATIVE DISTRICT 10",26,26,1,"JUDD STROM",REP,221,603,7101,7925,
11/6/2018,"FEDERAL, STATE AND COUNTY",10048,"FOR STATE REPRESENTATIVE DISTRICT 10",26,26,2,"KEVIN STACY",DEM,165,432,3635,4232,
11/6/2018,"FEDERAL, STATE AND COUNTY",10050,"FOR STATE REPRESENTATIVE DISTRICT 12",18,18,1,"KEVIN McDUGLE",REP,212,860,6099,7171,
11/6/2018,"FEDERAL, STATE AND COUNTY",10050,"FOR STATE REPRESENTATIVE DISTRICT 12",18,18,2,"CYNDI RALSTON",DEM,147,603,4059,4809,
11/6/2018,"FEDERAL, STATE AND COUNTY",10051,"FOR STATE REPRESENTATIVE DISTRICT 13",18,18,1,"AVERY CARL FRIX",REP,180,627,6246,7053,
11/6/2018,"FEDERAL, STATE AND COUNTY",10051,"FOR STATE REPRESENTATIVE DISTRICT 13",18,18,2,"JOLENE ARMSTRONG",DEM,109,304,2785,3198,
11/6/2018,"FEDERAL, STATE AND COUNTY",10052,"FOR STATE REPRESENTATIVE DISTRICT 14",15,15,1,"CHRIS SNEED",REP,200,583,4913,5696,
11/6/2018,"FEDERAL, STATE AND COUNTY",10052,"FOR STATE REPRESENTATIVE DISTRICT 14",15,15,2,"JACK REAVIS",DEM,180,533,4348,5061,
11/6/2018,"FEDERAL, STATE AND COUNTY",10053,"FOR STATE REPRESENTATIVE DISTRICT 15",30,30,1,"RANDY RANDLEMAN",REP,182,641,6157,6980,
11/6/2018,"FEDERAL, STATE AND COUNTY",10053,"FOR STATE REPRESENTATIVE DISTRICT 15",30,30,2,"JUDY ROSS MOORE",DEM,112,350,3208,3670,
11/6/2018,"FEDERAL, STATE AND COUNTY",10054,"FOR STATE REPRESENTATIVE DISTRICT 16",23,23,1,"SCOTT FETGATTER",REP,215,477,5233,5925,
11/6/2018,"FEDERAL, STATE AND COUNTY",10054,"FOR STATE REPRESENTATIVE DISTRICT 16",23,23,2,"CHANDLER TORBETT",DEM,144,434,3738,4316,
11/6/2018,"FEDERAL, STATE AND COUNTY",10054,"FOR STATE REPRESENTATIVE DISTRICT 16",23,23,3,"JAMES DELSO",IND,13,21,350,384,
11/6/2018,"FEDERAL, STATE AND COUNTY",10055,"FOR STATE REPRESENTATIVE DISTRICT 17",39,39,1,"JIM GREGO",REP,182,559,6237,6978,
11/6/2018,"FEDERAL, STATE AND COUNTY",10055,"FOR STATE REPRESENTATIVE DISTRICT 17",39,39,2,"PEGGY DeFRANGE",DEM,172,378,3479,4029,
11/6/2018,"FEDERAL, STATE AND COUNTY",10056,"FOR STATE REPRESENTATIVE DISTRICT 18",39,39,1,"DAVID SMITH",REP,118,520,4922,5560,
11/6/2018,"FEDERAL, STATE AND COUNTY",10056,"FOR STATE REPRESENTATIVE DISTRICT 18",39,39,2,"DONNIE CONDIT",DEM,142,590,4487,5219,
11/6/2018,"FEDERAL, STATE AND COUNTY",10057,"FOR STATE REPRESENTATIVE DISTRICT 19",48,48,1,"JUSTIN J.J. HUMPHREY",REP,172,760,6043,6975,
11/6/2018,"FEDERAL, STATE AND COUNTY",10057,"FOR STATE REPRESENTATIVE DISTRICT 19",48,48,2,"LEWIS COLLINS",DEM,99,427,2716,3242,
11/6/2018,"FEDERAL, STATE AND COUNTY",10058,"FOR STATE REPRESENTATIVE DISTRICT 20",22,22,1,"SHERRIE CONLEY",REP,481,475,7921,8877,
11/6/2018,"FEDERAL, STATE AND COUNTY",10058,"FOR STATE REPRESENTATIVE DISTRICT 20",22,22,2,"STEVE JARMAN",DEM,210,236,2969,3415,
11/6/2018,"FEDERAL, STATE AND COUNTY",10060,"FOR STATE REPRESENTATIVE DISTRICT 22",32,32,1,"CHARLES McCALL",REP,186,963,6069,7218,
11/6/2018,"FEDERAL, STATE AND COUNTY",10060,"FOR STATE REPRESENTATIVE DISTRICT 22",32,32,2,"WAYNE EIDSON",DEM,108,429,2736,3273,
11/6/2018,"FEDERAL, STATE AND COUNTY",10060,"FOR STATE REPRESENTATIVE DISTRICT 22",32,32,3,"RENAE WARD",IND,14,42,392,448,
11/6/2018,"FEDERAL, STATE AND COUNTY",10061,"FOR STATE REPRESENTATIVE DISTRICT 23",13,13,1,"TERRY S. O'DONNELL",REP,169,254,4453,4876,
11/6/2018,"FEDERAL, STATE AND COUNTY",10061,"FOR STATE REPRESENTATIVE DISTRICT 23",13,13,2,"CRAIG JOHN HOXIE",DEM,122,206,3177,3505,
11/6/2018,"FEDERAL, STATE AND COUNTY",10062,"FOR STATE REPRESENTATIVE DISTRICT 24",32,32,1,"LOGAN J. PHILLIPS",REP,197,421,4483,5101,
11/6/2018,"FEDERAL, STATE AND COUNTY",10062,"FOR STATE REPRESENTATIVE DISTRICT 24",32,32,2,"STEVE KOUPLEN",DEM,167,470,4120,4757,
11/6/2018,"FEDERAL, STATE AND COUNTY",10063,"FOR STATE REPRESENTATIVE DISTRICT 25",21,21,1,"RONNY JOHNS",REP,152,827,4869,5848,
11/6/2018,"FEDERAL, STATE AND COUNTY",10063,"FOR STATE REPRESENTATIVE DISTRICT 25",21,21,2,"DANIEL D. MANUEL",DEM,160,863,4418,5441,
11/6/2018,"FEDERAL, STATE AND COUNTY",10063,"FOR STATE REPRESENTATIVE DISTRICT 25",21,21,3,"GARY RHYNES",IND,18,75,480,573,
11/6/2018,"FEDERAL, STATE AND COUNTY",10064,"FOR STATE REPRESENTATIVE DISTRICT 26",13,13,1,"DELL KERBS",REP,363,769,5109,6241,
11/6/2018,"FEDERAL, STATE AND COUNTY",10064,"FOR STATE REPRESENTATIVE DISTRICT 26",13,13,2,"TERRY W HOPKINS",DEM,420,602,3688,4710,
11/6/2018,"FEDERAL, STATE AND COUNTY",10066,"FOR STATE REPRESENTATIVE DISTRICT 28",17,17,1,"ZACK TAYLOR",REP,295,477,5390,6162,
11/6/2018,"FEDERAL, STATE AND COUNTY",10066,"FOR STATE REPRESENTATIVE DISTRICT 28",17,17,2,"STEVE BARNES",DEM,227,339,2953,3519,
11/6/2018,"FEDERAL, STATE AND COUNTY",10066,"FOR STATE REPRESENTATIVE DISTRICT 28",17,17,3,"KYLE WEBB",IND,23,28,431,482,
11/6/2018,"FEDERAL, STATE AND COUNTY",10067,"FOR STATE REPRESENTATIVE DISTRICT 29",20,20,1,"KYLE HILBERT",REP,293,703,8052,9048,
11/6/2018,"FEDERAL, STATE AND COUNTY",10067,"FOR STATE REPRESENTATIVE DISTRICT 29",20,20,2,"JESSE GOODWIN",DEM,108,264,2596,2968,
11/6/2018,"FEDERAL, STATE AND COUNTY",10069,"FOR STATE REPRESENTATIVE DISTRICT 31",16,16,1,"GARRY MIZE",REP,814,1241,8859,10914,
11/6/2018,"FEDERAL, STATE AND COUNTY",10069,"FOR STATE REPRESENTATIVE DISTRICT 31",16,16,2,"KARA SAWYER",DEM,470,583,3444,4497,
11/6/2018,"FEDERAL, STATE AND COUNTY",10070,"FOR STATE REPRESENTATIVE DISTRICT 32",23,23,1,"KEVIN WALLACE",REP,287,643,7308,8238,
11/6/2018,"FEDERAL, STATE AND COUNTY",10070,"FOR STATE REPRESENTATIVE DISTRICT 32",23,23,2,"CHRISTI WOLFF",DEM,144,233,3054,3431,
11/6/2018,"FEDERAL, STATE AND COUNTY",10072,"FOR STATE REPRESENTATIVE DISTRICT 34",13,13,1,"AARON MEANS",REP,149,556,3172,3877,
11/6/2018,"FEDERAL, STATE AND COUNTY",10072,"FOR STATE REPRESENTATIVE DISTRICT 34",13,13,2,"TRISH RANSON",DEM,296,911,4018,5225,
11/6/2018,"FEDERAL, STATE AND COUNTY",10073,"FOR STATE REPRESENTATIVE DISTRICT 35",23,23,1,"TY BURNS",REP,283,763,7165,8211,
11/6/2018,"FEDERAL, STATE AND COUNTY",10073,"FOR STATE REPRESENTATIVE DISTRICT 35",23,23,2,"JASHA LYONS ECHO-HAWK",DEM,133,303,2767,3203,
11/6/2018,"FEDERAL, STATE AND COUNTY",10077,"FOR STATE REPRESENTATIVE DISTRICT 39",12,12,1,"RYAN MARTINEZ",REP,1113,1018,7990,10121,
11/6/2018,"FEDERAL, STATE AND COUNTY",10077,"FOR STATE REPRESENTATIVE DISTRICT 39",12,12,2,"DEVYN DENTON",DEM,811,651,4371,5833,
11/6/2018,"FEDERAL, STATE AND COUNTY",10077,"FOR STATE REPRESENTATIVE DISTRICT 39",12,12,3,"RICHARD PRAWDZIENSKI",IND,57,47,517,621,
11/6/2018,"FEDERAL, STATE AND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 40",14,14,1,"CHAD CALDWELL",REP,262,617,4648,5527,
11/6/2018,"FEDERAL, STATE AND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 40",14,14,2,"NORMAN GREY",DEM,167,493,3068,3728,
11/6/2018,"FEDERAL, STATE AND COUNTY",10079,"FOR STATE REPRESENTATIVE DISTRICT 41",18,18,1,"DENISE CROSSWHITE HADER",REP,844,780,9792,11416,
